datetime,dogecoin_count,dogecoin_polarity,dogecoin_subjectivity,dogecoin_polarity_zeros,dogecoin_subjectivity_zeros
2021-01-25,766,0.20363777700545427,0.5436211988069363,0.20363777700545427,0.5436211988069363
2021-01-26,944,0.24412398828524384,0.5434650574831654,0.24412398828524384,0.5434650574831654
2021-01-27,1574,0.16291745322463685,0.5429384560684158,0.16291745322463685,0.5429384560684158
2021-01-28,77197,0.15642766703203098,0.5508978817059837,0.15642766703203098,0.5508978817059837
2021-01-29,244437,0.1174158899560646,0.5423693906763095,0.1174158899560646,0.5423693906763095
2021-01-30,73827,0.13753268241486308,0.49471748841231816,0.13753268241486308,0.49471748841231816
2021-01-31,50836,0.1676607906298489,0.5288418503600104,0.1676607906298489,0.5288418503600104
2021-02-01,36348,0.19107332057045737,0.5216380986953174,0.19107332057045737,0.5216380986953174
2021-02-02,19985,0.20030763266371374,0.5203464164547111,0.20030763266371374,0.5203464164547111
2021-02-03,20801,0.19772967089105256,0.5280968682094609,0.19772967089105256,0.5280968682094609
2021-02-04,60646,0.19184988668403355,0.527283049931665,0.19184988668403355,0.527283049931665
2021-02-05,30393,0.15629476336594816,0.5514503945414294,0.15629476336594816,0.5514503945414294
2021-02-06,35036,0.2220446572282412,0.5445080772613295,0.2220446572282412,0.5445080772613295
2021-02-07,74874,0.191831010201682,0.5210455688710727,0.191831010201682,0.5210455688710727
2021-02-08,59812,0.17854520527183024,0.5063912528033861,0.17854520527183024,0.5063912528033861
2021-02-09,35823,0.20428631922179888,0.5018444313864882,0.20428631922179888,0.5018444313864882
2021-02-10,30654,0.23409569241873338,0.5321247266096327,0.23409569241873338,0.5321247266096327
2021-02-11,22092,0.2220950248052778,0.5260368378546965,0.2220950248052778,0.5260368378546965
2021-02-12,20599,0.20168954271145156,0.5218643141223887,0.20168954271145156,0.5218643141223887
2021-02-13,15109,0.21732002607180775,0.5292617811909115,0.21732002607180775,0.5292617811909115
2021-02-14,17015,0.22649515713998522,0.5228988306214057,0.22649515713998522,0.5228988306214057
2021-02-15,19221,0.20482099476499926,0.5089812431988634,0.20482099476499926,0.5089812431988634
2021-02-16,13205,0.2091164774034669,0.523088590383585,0.2091164774034669,0.523088590383585
2021-02-17,13044,0.1956291684598473,0.5186210959576346,0.1956291684598473,0.5186210959576346
2021-02-18,16638,0.20461979374043415,0.5307536400768051,0.20461979374043415,0.5307536400768051
