datetime,ethereum_count,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros
2021-01-31 00:00:00,227,0.21505578947961768,0.5104404457045303,0.12288902255978153,0.32358278254483613
2021-01-31 01:00:00,225,0.11822769518493204,0.49577085628914896,0.07745952443150719,0.35045870875612256
2021-01-31 02:00:00,224,0.10573985611383152,0.5384827216730204,0.06323658061709532,0.3537092387460036
2021-01-31 03:00:00,197,0.2036442550505051,0.5491163769895113,0.1195709387452507,0.33753025007612164
2021-01-31 04:00:00,219,0.12954825375126125,0.6160785400018592,0.09767527068547475,0.4987302466681718
2021-01-31 05:00:00,237,0.1402398544528174,0.4763968855218854,0.09235307488356267,0.3485830869672332
2021-01-31 06:00:00,198,0.14678955453149,0.5230042016806723,0.10225789192081326,0.3995987158908508
2021-01-31 07:00:00,210,0.161429974346641,0.48500008780167514,0.10019791511170821,0.3512069601322475
2021-01-31 08:00:00,275,0.13601661706349205,0.565899922129291,0.10363170823885108,0.4626007299945792
2021-01-31 09:00:00,288,0.18611859564445768,0.5477828696188072,0.12749856552021904,0.4140720904205157
2021-01-31 10:00:00,276,0.16543658220864102,0.5043588000026357,0.0978233703494573,0.32015819478428176
2021-01-31 11:00:00,335,0.21863581337790194,0.5255047280160917,0.12889723326010635,0.34510758257773183
2021-01-31 12:00:00,302,0.1860361540449513,0.5214445540158668,0.1004004640877515,0.3186605607874741
2021-01-31 13:00:00,359,0.19435908155630371,0.5196743545020244,0.11819133337883334,0.36166526022776024
2021-01-31 14:00:00,390,0.16330352848209992,0.4922629526558097,0.09712824243053002,0.33782751652849685
2021-01-31 15:00:00,369,0.13302356195003254,0.5898231716660919,0.0832417381527811,0.40889581839428457
2021-01-31 16:00:00,403,0.22229453501815882,0.5435320033466221,0.14337339832532137,0.3795075526325527
2021-01-31 17:00:00,326,0.15459234835497454,0.48843120137438306,0.09873962894930632,0.3466285945237557
2021-01-31 18:00:00,309,0.18415981240981247,0.5190431310028084,0.10634580716622974,0.3399366984736703
2021-01-31 19:00:00,333,0.14596718186815588,0.540641695027856,0.10176585214751713,0.39596293156969736
2021-01-31 20:00:00,295,0.22723971596214249,0.47148291462436187,0.12461532810827168,0.2889733992858992
2021-01-31 21:00:00,243,0.19621014246947088,0.5201371016097043,0.11950981404958681,0.3451818947046219
2021-01-31 22:00:00,258,0.14321510634010637,0.45366264480722324,0.08905813335435185,0.3164201640252061
2021-01-31 23:00:00,201,0.2599729223085388,0.5178403352390694,0.17252748480475755,0.3719035134898771
2021-02-01 00:00:00,309,0.1694866743461321,0.46430317160534246,0.10035395191547296,0.31157186515621665
2021-02-01 01:00:00,233,0.18547815997408387,0.5188186332606787,0.09375819075613032,0.31357170142128926
2021-02-01 02:00:00,252,0.16335432076175838,0.507819050095104,0.09225710343539723,0.32100478814301914
2021-02-01 03:00:00,282,0.23154044490665568,0.49523961533315847,0.1411294140383425,0.35610086626336634
2021-02-01 04:00:00,254,0.22572450320727255,0.5256607042221381,0.1326422338434488,0.36308522868951804
2021-02-01 05:00:00,275,0.2353451117386664,0.505074419688056,0.14011243861650838,0.33593321867624193
2021-02-01 06:00:00,325,0.1871805630090754,0.5472473923135688,0.10294930965499147,0.3382983879756607
2021-02-01 07:00:00,320,0.15777376675007398,0.4840153579305094,0.10016342868365694,0.33137980937151057
2021-02-01 08:00:00,361,0.17251973304473306,0.5387812672581189,0.10046329835938271,0.35053239074624604
2021-02-01 09:00:00,348,0.16993447898255584,0.5460971165272636,0.09681526093428482,0.36986657294675224
2021-02-01 10:00:00,357,0.2165735919098822,0.5118383520677553,0.1311285419766865,0.3518888670465818
2021-02-01 11:00:00,392,0.22726625368496542,0.522421052631579,0.12818131263200472,0.34346020761245677
2021-02-01 12:00:00,375,0.2235979771257548,0.5347365015693238,0.1217166407741004,0.3514598780475798
2021-02-01 13:00:00,463,0.2293119399350649,0.514919471619912,0.13609017206828777,0.34684486664011877
2021-02-01 14:00:00,957,0.361025027897781,0.5813396290642238,0.28362881276675345,0.4825498881774929
2021-02-01 15:00:00,655,0.2647197726342427,0.5549276288997467,0.1877788631084364,0.4207073284138323
2021-02-01 16:00:00,472,0.17666643906962604,0.5599159311833733,0.11160514422812069,0.40923034063827285
2021-02-01 17:00:00,474,0.19029034890911956,0.5693553889371555,0.10997963713833522,0.37803973405235863
2021-02-01 18:00:00,468,0.1587056482747272,0.5424675284937496,0.09369909742773443,0.35551544240268335
2021-02-01 19:00:00,430,0.22491175724715307,0.5149596693325498,0.1385127285485516,0.370519762080737
2021-02-01 20:00:00,437,0.19269156111378333,0.5126694690957191,0.1152308338886412,0.3406441655121057
2021-02-01 21:00:00,468,0.22312006292216466,0.5197306484764477,0.14573738213991103,0.3665152549949516
2021-02-01 22:00:00,477,0.19620214268935185,0.498698475893689,0.12052417336631614,0.3348404052429054
2021-02-01 23:00:00,438,0.218464856902357,0.5005788842808492,0.13505100244872978,0.3473714075767105
2021-02-02 00:00:00,576,0.18362553507745813,0.5312451461110707,0.11341577166548884,0.3641793648679964
2021-02-02 01:00:00,332,0.22397223914607736,0.5195894179275636,0.14637555786712142,0.3845779943715825
2021-02-02 02:00:00,394,0.25503211812991117,0.5168874256773417,0.1761893812947967,0.38807320918361926
2021-02-02 03:00:00,364,0.26923724265983046,0.554880600034365,0.17917879215340632,0.39247652197552646
2021-02-02 04:00:00,332,0.19810213672245777,0.5108200981944886,0.14414435629221636,0.4074635024508567
2021-02-02 05:00:00,286,0.2034250481373928,0.5066120438754366,0.1276029847407282,0.35923399474803686
