datetime,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-01-31,25829,0.18670676949545018,0.5111022900659389,0.18670676949545018,0.5111022900659389
2021-02-01,35094,0.180554632981839,0.4985535550840239,0.180554632981839,0.4985535550840239
2021-02-02,32258,0.19218251438596545,0.504607051370868,0.19218251438596545,0.504607051370868
2021-02-03,34284,0.19820745894686442,0.4958870083375275,0.19820745894686442,0.4958870083375275
2021-02-04,33830,0.20124007982219358,0.5091611804133832,0.20124007982219358,0.5091611804133832
2021-02-05,37494,0.1672104077818744,0.508804676517015,0.1672104077818744,0.508804676517015
2021-02-06,39210,0.18946613239209528,0.5012701174271763,0.18946613239209528,0.5012701174271763
2021-02-07,27265,0.18850543226600083,0.4968083563250854,0.18850543226600083,0.4968083563250854
2021-02-08,87988,0.16478019965544705,0.48981071745480814,0.16478019965544705,0.48981071745480814
2021-02-09,60759,0.17624809120131021,0.48252152056450576,0.17624809120131021,0.48252152056450576
2021-02-10,52361,0.17602103425301976,0.4920440017037249,0.17602103425301976,0.4920440017037249
2021-02-11,46199,0.17833770469087373,0.49206104905998743,0.17833770469087373,0.49206104905998743
2021-02-12,40787,0.18644433825248602,0.49338071854243065,0.18644433825248602,0.49338071854243065
2021-02-13,33240,0.19661677248579898,0.5006939517859876,0.19661677248579898,0.5006939517859876
2021-02-14,40356,0.2021659077477129,0.5004959873239595,0.2021659077477129,0.5004959873239595
2021-02-15,36241,0.18755875399286082,0.4968670889013749,0.18755875399286082,0.4968670889013749
2021-02-16,55365,0.19503730292733248,0.49679872016058074,0.19503730292733248,0.49679872016058074
2021-02-17,56915,0.18608806283838275,0.4977401826336285,0.18608806283838275,0.4977401826336285
2021-02-18,39935,0.19747487589986581,0.5015230544450416,0.19747487589986581,0.5015230544450416
2021-02-19,61095,0.18038051307587477,0.5072474721857144,0.18038051307587477,0.5072474721857144
2021-02-20,50472,0.1948932444646363,0.5032514098237479,0.1948932444646363,0.5032514098237479
2021-02-21,42838,0.1905564209296385,0.5025949626449516,0.1905564209296385,0.5025949626449516
2021-02-22,53593,0.18478996152433422,0.5042547011348896,0.18478996152433422,0.5042547011348896
2021-02-23,62993,0.16433460093245414,0.49480750252846656,0.16433460093245414,0.49480750252846656
2021-02-24,49389,0.17993761970818342,0.4757395677981377,0.17993761970818342,0.4757395677981377
2021-02-25,44957,0.21301163982113264,0.492280854412178,0.21301163982113264,0.492280854412178
2021-02-26,40551,0.18250239565668633,0.49625068717781406,0.18250239565668633,0.49625068717781406
2021-02-27,32482,0.19968402597421953,0.4923708651076336,0.19968402597421953,0.4923708651076336
2021-02-28,38504,0.18716187697145678,0.4948024061572525,0.18716187697145678,0.4948024061572525
2021-03-01,41876,0.20526010054898386,0.5033025653519456,0.20526010054898386,0.5033025653519456
2021-03-02,40094,0.20781464296249558,0.5048484478009586,0.20781464296249558,0.5048484478009586
2021-03-03,38692,0.20125409534648592,0.5009688034911648,0.20125409534648592,0.5009688034911648
2021-03-04,34369,0.20125575357650816,0.507041199317639,0.20125575357650816,0.507041199317639
2021-03-05,35236,0.19533699401746582,0.5031039564348464,0.19533699401746582,0.5031039564348464
2021-03-06,31083,0.22454829478350258,0.5219876749753569,0.22454829478350258,0.5219876749753569
2021-03-07,32185,0.22444805509911597,0.5063385299062695,0.22444805509911597,0.5063385299062695
2021-03-08,41255,0.23782672214251788,0.5125648474918536,0.23782672214251788,0.5125648474918536
2021-03-09,41306,0.20516208539794673,0.511052976028705,0.20516208539794673,0.511052976028705
2021-03-10,43677,0.21545389130707088,0.501554941091639,0.21545389130707088,0.501554941091639
2021-03-11,48066,0.26349594315216657,0.524586489842183,0.26349594315216657,0.524586489842183
2021-03-12,43532,0.2230018725812436,0.5039008581649677,0.2230018725812436,0.5039008581649677
2021-03-13,62751,0.20574775947313786,0.5057540772971718,0.20574775947313786,0.5057540772971718
2021-03-14,40199,0.21100536095487726,0.4964409090360364,0.21100536095487726,0.4964409090360364
2021-03-15,46718,0.1867591141106883,0.48566345751093604,0.1867591141106883,0.48566345751093604
2021-03-16,43971,0.20456921154865623,0.4869957134134015,0.20456921154865623,0.4869957134134015
2021-03-17,46740,0.20541610395890048,0.4908745659483164,0.20541610395890048,0.4908745659483164
2021-03-18,52198,0.17973441826789524,0.4586224417233339,0.17973441826789524,0.4586224417233339
2021-03-19,54692,0.2513970098653578,0.4698836262582197,0.2513970098653578,0.4698836262582197
2021-03-20,41305,0.28495865025214134,0.48304268127066396,0.28495865025214134,0.48304268127066396
2021-03-21,36887,0.26357753223773706,0.49846168042471,0.26357753223773706,0.49846168042471
2021-03-22,45913,0.21553723370663191,0.4828813799947724,0.21553723370663191,0.4828813799947724
2021-03-23,43082,0.21030553400901134,0.4850886337498305,0.21030553400901134,0.4850886337498305
2021-03-24,73437,0.26011184305163476,0.5382918534385155,0.26011184305163476,0.5382918534385155
2021-03-25,63684,0.22980216775504453,0.5012747566011664,0.22980216775504453,0.5012747566011664
2021-03-26,46305,0.26301998395942044,0.5327598290240622,0.26301998395942044,0.5327598290240622
2021-03-27,45296,0.30443247546465985,0.5656096317585434,0.30443247546465985,0.5656096317585434
2021-03-28,37246,0.27591571537838494,0.5420838194734444,0.27591571537838494,0.5420838194734444
2021-03-29,50939,0.30395820620726055,0.5052953844090992,0.30395820620726055,0.5052953844090992
2021-03-30,53085,0.2860362006998899,0.48832097026310795,0.2860362006998899,0.48832097026310795
