datetime,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-03-21 01:00:00+00:00,1136,0.27476556356533977,0.4958197431423918,0.17743281456716484,0.3541569593874227,58545.6176000115,58399.403675300004,58658.61805018,58397.87268164,52875204230.0,1089711323201.0
2021-03-21 02:00:00+00:00,1252,0.25562470923173386,0.4810583219835804,0.166100969468465,0.3296908327387469,58374.5637377463,57858.59537435,58374.5637377463,57835.9683787038,53331817694.0,1079624032107.0
2021-03-21 03:00:00+00:00,1250,0.2710754398298336,0.4926901635865914,0.1874243762132041,0.3672971208922309,57845.8655123452,58078.14825923,58078.14825923,57816.397729699995,52886248545.0,1083720823073.0
2021-03-21 04:00:00+00:00,1280,0.2522330290261821,0.4789698616029535,0.17318636982832178,0.3555841163218681,57967.426731181506,57190.81221553,57987.760821045,57070.4705273187,54218034644.0,1067166601384.0
2021-03-21 05:00:00+00:00,1219,0.292300158909044,0.5049015053743399,0.19454521027499627,0.3654842580157488,57111.171857787995,57318.26767818,57334.38319659999,57111.171857787995,54545059643.0,1069544889218.0
2021-03-21 06:00:00+00:00,1319,0.28582246254090143,0.4868340927305704,0.1886060241015605,0.3593796736036829,57282.1031374098,57292.8364836,57494.59050863,57023.32657353,55549769693.0,1069074990052.0
2021-03-21 07:00:00+00:00,1646,0.2708754070949333,0.4876582652707098,0.1677664139783267,0.3350997121209217,57274.80647956,57123.73536864,57418.5785446201,57112.0098271815,55428043105.0,1065919590810.0
2021-03-21 08:00:00+00:00,1799,0.3646114814162297,0.5110507017902346,0.2399738831770083,0.3632979478712892,57143.8666224704,57221.80870466,57351.96637506,57143.86662247,54950516351.0,1067753228248.0
2021-03-21 09:00:00+00:00,2020,0.2864697007080757,0.4997769984331032,0.1896473832594548,0.3587546515884136,57272.17703795151,56096.39081014,57346.95886895,56096.39081014,55968231732.0,1046753042878.0
2021-03-21 10:00:00+00:00,2052,0.2824416932391022,0.4963336076784069,0.1757760655799605,0.33388295402442003,56087.3736707827,56324.30220261,56423.1771379057,56049.37686462,57446474703.0,1051010070993.0
2021-03-21 11:00:00+00:00,1896,0.2691540051115601,0.4818468182164222,0.1721875580928035,0.3312945147506151,56207.8175010266,56391.64724637,56394.92314865,56066.9305482112,57389834721.0,1052266727826.0
2021-03-21 12:00:00+00:00,2063,0.2652898865384652,0.4911722389376688,0.17201624027216544,0.3497466275781179,56363.0288556205,56311.0856205,56363.0288556205,56128.29494744,56424869554.0,1050768348966.0
2021-03-21 13:00:00+00:00,2145,0.2637380294146085,0.4912433456144318,0.16797919114845247,0.34210997023858336,56309.3853461622,57199.7900017,57303.8146944743,56309.3853461622,56936513741.0,1067351627819.0
2021-03-21 14:00:00+00:00,2432,0.3253740433757842,0.5239801213747093,0.22276808005704168,0.3879589028164065,57199.8905522776,57305.81934269,57366.99988096,57199.8905522776,55354124784.0,1069336216312.0
