datetime,dogecoin_count,dogecoin_polarity,dogecoin_subjectivity,dogecoin_polarity_zeros,dogecoin_subjectivity_zeros,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-02-03 00:00:00+00:00,757,0.1812728774848341,0.5179484151333837,0.09003420326904553,0.2761817961093292,0.03139155910147,0.03370579,0.03370579,0.03139155910147,2941705889.0,4321287841.0
2021-02-03 01:00:00+00:00,847,0.1422121623289205,0.4956064570088102,0.0717428520405599,0.2796108070885526,0.03362823951539,0.03291298,0.033744209794589995,0.03279690879925,2764438261.0,4219645016.0
2021-02-03 02:00:00+00:00,769,0.1949427137260128,0.5089675996609955,0.0927212907390782,0.2629169861796565,0.0329985593976,0.03299432,0.0329985593976,0.03246149,2691683942.0,4230073586.0
2021-02-03 03:00:00+00:00,792,0.2097087048695539,0.4895756506244208,0.08696839873307008,0.2336785186861476,0.03291759,0.03317347,0.03328419,0.03291759,2633413533.0,4253041052.0
2021-02-03 04:00:00+00:00,601,0.2288168875846741,0.5228596974179408,0.11718759627312254,0.29529930279272365,0.03318266860409,0.03280767,0.03324917,0.03270490731921,2580230034.0,4206143812.0
2021-02-03 05:00:00+00:00,483,0.2408372549230759,0.5330692811759759,0.11864776529298593,0.3122636230418094,0.03289361936442,0.03255302,0.03301035,0.03255302,2526465591.0,4173496007.0
2021-02-03 06:00:00+00:00,441,0.24995575000546574,0.535190529634974,0.11889787027287023,0.2863992563992564,0.03234820616009,0.03254883,0.03254883,0.03194399,2479936544.0,4172958263.0
2021-02-03 07:00:00+00:00,364,0.1815796308542787,0.5497564592873133,0.0941033123405386,0.31701284878611496,0.032533869907789996,0.03250032,0.03280691958988,0.03235048114575,2418733163.0,4166739327.0
2021-02-03 08:00:00+00:00,378,0.1725174288628721,0.4994341723743127,0.11520078308935212,0.3499324957754231,0.03257332644819,0.03240951,0.03257332644819,0.03229620711568,2351936904.0,4155548935.0
2021-02-03 09:00:00+00:00,262,0.19511642113031,0.5339916820737134,0.1113591281572989,0.3334191966118796,0.03245844060646,0.0328317,0.0328317,0.03239265833333,2316102572.0,4209681929.0
2021-02-03 10:00:00+00:00,243,0.23330260017760016,0.5417783523061299,0.10053924206548516,0.2693925508704514,0.0328208801834,0.03274881,0.03289365,0.03261422,2255682137.0,4199053988.0
2021-02-03 11:00:00+00:00,333,0.2542480531920188,0.5520436081853406,0.10803213981785413,0.25681149538292397,0.032727154086,0.03224421,0.0327385,0.03206890165289,2193712208.0,4134354057.0
2021-02-03 12:00:00+00:00,355,0.2491512836060707,0.5422094827830121,0.11788701673978512,0.30931413447353034,0.03217569127193,0.03163435,0.03234198,0.03138587677046,2200462470.0,4056157421.0
2021-02-03 13:00:00+00:00,481,0.17125359657751982,0.5129305864307552,0.08866937487770063,0.2981246301843729,0.03148671,0.03165563,0.03173350149356,0.03124211,2190978649.0,4058886986.0
2021-02-03 14:00:00+00:00,493,0.21553250768466534,0.5264419753014012,0.10268546271825248,0.2860813711935654,0.03174874,0.03173429,0.03203765,0.03155816,2076705304.0,4068972504.0
2021-02-03 15:00:00+00:00,545,0.21134531253578875,0.5306150545515623,0.10613817457744457,0.30504521858581,0.03177288249217,0.03164961,0.03195488214381,0.03159431,2002146622.0,4058114046.0
2021-02-03 16:00:00+00:00,594,0.2349120141206608,0.5105103991949008,0.11535440852445965,0.2750463582143501,0.031672250734099995,0.03229223,0.03229223,0.03114623,1959700862.0,4140510865.0
2021-02-03 17:00:00+00:00,753,0.19890060232930035,0.5465673997869145,0.09003205434488394,0.28161819475377137,0.03264738630352,0.03215454,0.03264738630352,0.03184719,1995255853.0,4122857023.0
2021-02-03 18:00:00+00:00,899,0.1980831684742974,0.5368765256332101,0.09303906398035182,0.27657275562922945,0.03215688250543,0.03265544,0.03265544,0.03208309,1992863037.0,4187081834.0
2021-02-03 19:00:00+00:00,701,0.20208231769845736,0.527584053688671,0.09256218048425843,0.28039432224013283,0.03264959207296,0.03275096,0.03287044,0.03227359359357,1976335607.0,4199329812.0
2021-02-03 20:00:00+00:00,2057,0.1786826974861165,0.5283399654875746,0.06512733833606116,0.22516170491806914,0.03269474,0.03487865,0.034901129776650004,0.03269474,2227696270.0,4472142495.0
2021-02-03 21:00:00+00:00,4557,0.1635584416814471,0.5435985911047105,0.05897563167150436,0.2277692532808171,0.03722918,0.03680549,0.03898548495411,0.03633626,2882964670.0,4719202175.0
2021-02-03 22:00:00+00:00,1795,0.22943438195547716,0.5145180857877232,0.0946156892354158,0.25337295463262505,0.03690274474399,0.03599322,0.0371463,0.03577598,3019160670.0,4615052568.0
2021-02-03 23:00:00+00:00,1301,0.22056303066031446,0.5513035247552354,0.0967645202605076,0.2783331997548319,0.036194978680970005,0.03712003,0.03755263600607,0.03567835674036,3146856788.0,4759532731.0
2021-02-04 00:00:00+00:00,1342,0.18195638948018636,0.5180728046943973,0.07872950556895712,0.2520614202969956,0.03722574045703,0.03622384,0.03722574045703,0.03622384,3172116117.0,4644622464.0
2021-02-04 01:00:00+00:00,1196,0.2463841537063759,0.5406547970547969,0.10459704638478223,0.25785946819699435,0.03607054,0.03704441,0.03720941847931,0.03595057,3197299189.0,4749836155.0
2021-02-04 02:00:00+00:00,1880,0.17879105687814892,0.5463226495400797,0.07573297073297085,0.2555264039350834,0.03695046441153,0.03842684,0.03919577,0.03695046441153,3393797482.0,4927091714.0
